,FORENSIC SERVICES: SPIN REPORT BY CLIENT CODE.                                                                                                          ,,,,,,,,,,,,,,,
,CLIENT CODE: 000000ADAMSR 932                                                                                                                           ,,,,,,,,,,,,,,,
,PERIOD 20210527 TO 20210602                                                                                                                             ,,,,,,,,,,,,,,,
,                                                                                                                                                        ,,,,,,,,,,,,,,,
,PROC DATE,TIME ,BRANCH,SUB-BRANCH,TELLER,FUNC,DESCRIPTION,TRAN AMOUNT,CONTROLLER,LU NUMBER                                                              ,,,,,,
ADAMSR 932,20210503,822370,3286,0,6,PORB,          ,0,0,9094285,,,,,,
ADAMSR 932,20210526,1055580,2626,0,49,PORB,          ,0,0,9097241,,,,,,
ADAMSR 932,20210526,1540200,2626,0,49,PORB,          ,0,0,9097241,,,,,,
ADAMSR 932,20210602,1249290,4567,0,49,PORB,          ,0,0,5030402,,,,,,
ADAMSR 932,20210510,1339090,2626,0,49,PORB,          ,0,0,9005553,,,,,,
ADAMSR 932,20210510,1326490,4567,0,49,PORB,          ,0,0,5030402,,,,,,
ADAMSR 932,20210525,1653520,2626,0,23,PORB,          ,0,0,9980248,,,,,,
ADAMSR 932,20210524,1207120,4567,0,49,PORB,          ,0,0,5030402,,,,,,
ADAMSR 932,20210524,1204540,4567,0,49,PORB,          ,0,0,5030402,,,,,,
ADAMSR 932,20210510,1321490,4567,0,49,PORB,          ,0,0,5030402,,,,,,
ADAMSR 932,20210510,1323270,4567,0,49,PORB,          ,0,0,5030402,,,,,,
ADAMSR 932,20210510,1315530,4567,0,49,PORB,          ,0,0,5030402,,,,,,
,                                                                                                                                                        ,,,,,,,,,,,,,,,
,                                                                                                                                                        ,,,,,,,,,,,,,,,
,                                                                                                                                                        ,,,,,,,,,,,,,,,
,FORENSIC SERVICES: SPIN REPORT BY CLIENT CODE.                                                                                                          ,,,,,,,,,,,,,,,
,CLIENT CODE: 000000ADSERVI070                                                                                                                           ,,,,,,,,,,,,,,,
,PERIOD 20210527 TO 20210602                                                                                                                             ,,,,,,,,,,,,,,,
,                                                                                                                                                        ,,,,,,,,,,,,,,,
,PROC DATE,TIME ,BRANCH,SUB-BRANCH,TELLER,FUNC,DESCRIPTION,TRAN AMOUNT,CONTROLLER,LU NUMBER                                                              ,,,,,,
ADSERVI070,20210505,831480,8243,0,855,PORB,          ,0,0,0,,,,,,
,                                                                                                                                                        ,,,,,,,,,,,,,,,
,                                                                                                                                                        ,,,,,,,,,,,,,,,
,                                                                                                                                                        ,,,,,,,,,,,,,,,
,FORENSIC SERVICES: SPIN REPORT BY CLIENT CODE.                                                                                                          ,,,,,,,,,,,,,,,
,CLIENT CODE: 000000AFONDSB002                                                                                                                           ,,,,,,,,,,,,,,,
,PERIOD 20210527 TO 20210602                                                                                                                             ,,,,,,,,,,,,,,,
,                                                                                                                                                        ,,,,,,,,,,,,,,,
,PROC DATE,TIME ,BRANCH,SUB-BRANCH,TELLER,FUNC,DESCRIPTION,TRAN AMOUNT,CONTROLLER,LU NUMBER                                                              ,,,,,,
AFONDSB002,20210504,1538000,3144,0,61,PORB,          ,0,0,9059181,,,,,,
AFONDSB002,20210525,1417170,3144,0,6,PORB,          ,0,0,9114592,,,,,,
AFONDSB002,20210525,1351240,9636,0,0,PORB,          ,0,0,9151392,,,,,,
